row.number_original.sheet,ID,lat.long,plant_richness,frugivore_richness,interaction_richness,patch_state,observations
6559,70,"-21.42701 , -45.949739",1,1,1,,
4961,71,"-21.490921 , -47.37045",1,1,1,,
1145,72,"-21.638818 , -42.844291",1,1,1,,
2812,73,"-21.661612 , -46.739549",2,1,2,,
214,74,"-21.70693 , -43.881834",19,8,42,,
4847,75,"-21.749622 , -43.317409",1,24,24,,
4950,76,"-21.785415 , -46.561951",2,2,2,,
2818,77,"-21.839859 , -43.791995",1,1,1,,
2831,78,"-22.029678 , -46.33894",1,1,1,,
1513,79,"-22.067781 , -48.177368",1,1,1,,
2840,80,"-22.167531 , -44.394713",1,2,2,,
6566,81,"-22.245915 , -43.706895",1,1,1,,
6563,82,"-22.279958 , -48.12557",2,2,2,,
2903,83,"-22.286404 , -44.868447",1,1,1,,
2919,84,"-22.288726 , -42.53408",1,1,1,,
437,85,"-22.292324 , -49.550822",18,3,36,,
4967,86,"-22.30231 , -46.612626",1,1,1,,
6897,87,"-22.30275 , -48.57554",1,1,1,,
6883,88,"-22.325803 , -45.526315",1,1,1,,
3990,89,"-22.360491 , -47.379839",1,1,1,,
2203,90,"-22.407457 , -43.661399",1,2,2,,
618,91,"-22.414902 , -47.565139",11,3,11,,
2173,92,"-22.457737 , -43.480691",1,1,1,,
3663,93,"-22.46 , -42.0375",1,1,1,,
7865,94,"-22.4663 , -42.652755",1,1,1,,
36,95,"-22.470966 , -44.451335",3,5,5,,
39,96,"-22.4833 , -47.5923",8,29,87,,
489,97,"-22.490203 , -44.567911",5,5,7,,
810,98,"-22.511264 , -43.177914",5,8,11,,
7856,99,"-22.531437 , -52.173372",1,1,1,,
2167,100,"-22.535199 , -42.989949",3,2,3,,
78,101,"-22.5532 , -42.2805",13,45,183,,
4999,102,"-22.566535 , -47.397437",1,1,1,,
724,103,"-22.58 , -47.51",20,30,125,,
509,104,"-22.606882 , -45.185851",1,1,1,,
5547,105,"-22.659317 , -45.854453",1,1,1,,
1459,106,"-22.67 , -47.21",9,11,24,,
3977,107,"-22.69004 , -46.682607",2,2,2,,
1387,108,"-22.71 , -47.61",6,28,50,,
2985,109,"-22.742928 , -45.596348",2,2,2,,
10,110,"-22.766667 , -43.683333",20,20,59,,
4964,111,"-22.782398 , -46.590643",1,1,1,,
622,112,"-22.816667 , -47.1",1,13,13,,
686,113,"-22.823722 , -47.103974",27,41,152,,
1336,114,"-22.83 , -47.38",8,15,27,,
6976,115,"-22.84336 , -42.103001",1,1,1,,
2219,116,"-22.85321 , -46.321698",1,1,1,,
3984,117,"-22.884181 , -48.444165",1,1,1,,
1306,118,"-22.906717 , -43.172938",7,18,32,,
1125,119,"-22.906839 , -43.172904",11,1,11,,
1158,120,"-22.906847 , -43.172896",14,18,55,,
511,121,"-22.906847 , -43.172897",11,23,33,,
490,122,"-22.909883 , -47.062581",4,3,4,,
117,123,"-22.943263 , -46.749949",13,48,124,,
473,124,"-22.95 , -42.866667",3,1,3,,
3992,125,"-22.95317 , -46.542324",2,1,2,,
3867,126,"-22.959898 , -44.041315",1,1,1,,
55,127,"-22.960809 , -43.274492",13,4,14,,
60,128,"-23.004015 , -46.846797",16,48,124,,
6873,129,"-23.005804 , -44.315791",1,1,1,,
6991,130,"-23.020456 , -45.556356",1,1,1,,
6279,131,"-23.03557 , -43.504991",2,4,5,,
